cr;c0;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11;c12;c13;c14;c15;c16;c17;c18;c19;c20;c21;c22;c23;c24;c25;c26;c27;c28;c29;c30;c31;c32;c33;c34;c35;c36;c37;c38;c39;c40;c41;c42;c43;c44;c45;c46;c47;c48;c49;c50;c51;c52;c53;c54;c55;c56;c57;c58;c59;c60;c61;c62;c63;c64;c65;c66;c67;c68;c69;c70;c71;c72;c73;c74;c75;c76;c77;c78;c79;c80;c81;c82;c83;c84;c85;c86;c87;c88;c89;c90;c91;c92;c93;c94;c95;c96;c97;c98;c99;c100;c101;c102;c103;c104;c105;c106;c107;c108;c109;c110;c111;c112;c113;c114;c115;c116;c117;c118;c119;c120;c121;c122;c123;c124;c125;c126;c127;c128;c129;c130;c131;c132;c133;c134;c135;c136;c137;c138;c139;c140;c141;c142;c143;c144;c145;c146;c147;c148;c149;c150;c151;c152;c153;c154;c155;c156;c157;c158;c159;c160;c161;c162;c163;c164;c165;c166;c167;c168;c169;c170;c171;c172;c173;c174;c175;c176;c177;c178;c179;c180;c181;c182;c183;c184;c185;c186;c187;c188;c189;c190;c191;c192;c193;c194;c195;c196;c197;c198;c199;c200;c201;c202;c203;c204;c205;c206;c207;c208;c209;c210;c211;c212;c213;c214;c215;c216;c217;c218;c219;c220;c221;c222;c223;c224;c225;c226;c227;c228;c229;c230;c231;c232;c233;c234;c235;c236;c237;c238;c239;c240;c241;c242;c243;c244;c245;c246;c247;c248;c249;c250;c251;c252;c253;c254;c255;c256;c257;c258;c259;c260;c261;c262;c263;c264;c265;c266;c267;c268;c269;c270;c271;c272;c273;c274;c275;c276;c277;c278;c279;c280;c281;c282;c283;c284;c285;c286;c287;c288;c289;c290;c291;c292;c293;c294;c295;c296;c297;c298;c299
r128;11.972;21.918;11.571;15.082;27.102;18.532;22.128;19.789;20.201;14.566;17.76;17.878;8.141;4.453;16.346;7.683;2.388;22.345;9.294;7.129;16.068;13.267;6.15;18.472;19.455;18.317;20.979;4.761;28.047;2.829;19.717;7.963;17.872;16.552;22.821;1.898;9.811;2.637;29.076;20.404;10.823;25.512;1.748;19.663;27.89;24.901;28.141;18.906;4.166;27.07;20.964;23.995;21.291;23.729;17.805;24.657;11.893;1.638;2.353;24.008;28.463;22.976;26.391;3.762;24.194;28.523;3.246;8.245;18.735;4.656;13.174;8.387;9.215;11.525;2.35;10.679;17.576;11.685;5.862;16.933;1.459;2.901;4.934;8.301;19.387;14.826;10.007;12.353;15.478;5.152;29.434;20.211;6.978;22.007;7.083;25.651;26.647;20.873;4.239;26.584;11.932;6.294;18.658;22.067;7.647;22.574;24.513;8.68;29.753;7.199;27.346;11.09;29.432;6.325;15.809;20.486;18.301;28.526;1.362;6.76;25.964;6.217;9.889;4.881;10.088;1.734;7.167;17.446;19.816;12.967;21.924;4.251;15.864;2.919;15.607;2.529;2.769;12.562;26.397;5.475;14.384;16.319;4.994;18.177;10.852;13.638;28.247;14.162;4.601;8.854;19.086;27.94;10.395;7.545;19.778;14.726;15.485;25.339;2.746;13.947;27.396;2.537;1.765;24.855;7.336;19.882;19.768;9.684;8.705;12.435;10.987;27.593;20.9;18.878;20.185;24.348;12.968;25.599;15.69;16.189;29.237;23.191;4.264;23.307;12.621;16.131;23.619;25.486;29.939;21.853;3.876;4.411;23.418;17.282;2.826;23.777;6.211;1.351;25.025;21.685;8.838;20.088;4.452;12.884;3.245;11.731;29.793;9.119;16.755;13.85;22.717;19.728;11.179;9.806;28.856;25.93;2.389;16.304;4.544;22.998;7.674;17.466;28.049;29.798;12.141;14.873;28.782;11.628;7.295;29.903;12.437;7.113;14.506;21.239;25.917;28.574;9.507;15.986;22.42;12.676;27.719;23.876;22.124;16.317;9.079;19.47;1.397;6.82;17.986;14.776;5.657;1.522;16.878;1.707;20.867;25.426;14.621;17.141;16.372;4.549;20.648;24.3;25.276;4.509;16.835;2.838;22.297;20.332;27.796;28.467;7.567;25.782;7.108;22.719;16.429;4.161;6.437;17.865;8.047;24.341;9.723;6.966;14.422;17.632;8.642;7.368;25.565;15.577;22.763;13.731;24.849;7.655;23.855;19.559;4.629;3.565;9.242;6.294;22.729;1.099
r129;15.174;6.07;23.35;29.989;20.667;18.82;26.573;11.858;26.667;19.187;25.162;22.799;17.836;24.645;14.987;21.792;20.178;21.939;24.786;9.377;9.584;2.045;11.644;4.059;18.165;22.805;13.336;8.322;7.278;24.004;9.524;21.358;5.088;6.42;18.214;21.71;22.136;2.495;17.674;13.57;1.357;11.074;28.737;10.12;24.067;28.134;23.638;21.395;10.326;15.576;13.497;25.362;19.252;12.04;20.332;13.937;18.711;19.305;26.222;13.186;18.746;19.193;20.914;24.359;11.394;14.713;4.82;6.366;23.105;13.96;18.084;20.35;12.55;7.002;1.939;11.523;23.162;28.166;1.569;21.291;16.0;1.571;15.137;10.807;16.174;21.839;22.58;23.418;6.768;21.72;2.538;21.595;23.913;16.326;25.153;22.195;8.834;15.736;25.114;21.671;10.836;5.691;10.353;6.122;23.562;2.334;12.024;21.966;17.147;8.393;23.063;7.053;9.583;23.268;10.407;20.742;19.065;15.15;15.826;1.461;12.561;11.96;26.352;27.335;15.479;5.871;4.556;28.241;19.988;6.401;14.8;15.548;7.748;20.64;24.935;29.622;2.213;19.673;22.697;15.681;4.368;24.237;27.282;11.849;19.784;14.686;20.603;26.12;26.276;28.047;4.851;19.236;15.467;25.231;21.387;1.322;29.006;27.729;22.433;15.112;14.898;14.532;2.542;7.911;2.387;10.988;11.336;29.646;1.585;15.446;18.184;1.039;11.881;8.794;11.834;24.352;10.289;8.049;22.767;6.249;18.311;17.068;11.297;10.494;15.232;24.78;1.46;8.37;10.793;19.355;27.343;29.66;24.634;29.74;21.592;15.526;4.139;4.955;20.266;1.26;29.585;13.796;4.552;24.792;21.493;14.278;22.776;4.9;14.231;7.608;29.21;9.742;11.722;12.168;6.031;6.286;17.464;4.113;19.624;26.934;11.399;3.651;28.366;12.501;29.635;24.763;16.014;14.941;6.643;28.515;20.967;6.549;24.652;5.226;12.338;15.502;4.697;29.518;22.853;3.016;6.695;10.337;10.784;1.953;14.954;14.276;27.938;9.319;19.432;13.922;11.995;27.52;24.419;18.512;20.102;14.143;14.657;21.689;1.984;8.37;3.155;22.714;15.086;1.083;5.419;4.457;2.957;16.988;13.308;19.281;21.543;22.896;3.31;3.074;4.8;16.883;19.493;9.507;29.922;24.152;2.983;21.941;12.278;29.304;25.34;10.23;7.853;11.426;23.534;14.878;14.744;2.851;10.333;16.975;14.899;5.552;8.309;25.905;29.469;13.737
r130;16.812;6.573;18.621;24.859;1.719;21.204;25.12;15.371;16.289;20.92;13.392;6.48;3.16;28.658;22.927;12.087;23.258;27.298;3.769;28.381;14.693;27.577;3.63;8.472;11.602;19.872;9.635;15.703;18.17;24.82;26.923;12.591;11.685;26.809;15.337;24.504;4.353;17.997;21.388;9.497;29.857;20.647;4.126;14.128;6.248;26.9;19.25;16.735;19.757;4.799;29.847;2.08;14.916;22.856;8.266;23.102;7.358;10.059;17.753;24.565;25.189;14.808;16.782;23.62;12.591;16.373;26.688;15.948;25.366;18.554;9.272;28.777;6.301;1.896;25.256;15.06;27.683;24.928;25.112;15.036;8.162;8.884;8.361;18.827;22.591;23.428;5.695;28.723;18.041;6.124;5.882;21.306;13.218;18.677;1.86;7.397;16.523;27.638;23.554;28.641;3.746;7.765;27.556;5.574;2.83;17.087;11.758;7.122;1.73;5.106;28.147;12.803;1.774;29.232;23.695;20.61;14.351;27.705;16.693;4.666;22.402;20.381;13.602;27.992;28.583;15.482;12.841;2.277;10.064;18.397;11.066;20.654;10.645;20.663;20.508;2.009;29.093;23.705;6.307;29.421;20.2;25.894;9.381;14.163;11.056;19.923;13.141;16.179;13.717;8.917;5.142;9.873;22.033;28.877;5.419;5.508;5.45;21.732;17.566;4.797;26.529;8.958;22.473;14.839;25.554;9.482;28.585;2.285;17.019;24.39;7.664;11.423;15.405;3.132;26.806;6.043;28.53;23.14;2.333;4.119;2.768;11.294;17.973;13.202;17.137;1.937;21.33;8.488;20.438;27.78;17.397;5.681;23.835;17.065;4.631;23.877;15.048;15.466;6.92;4.922;19.795;20.452;1.839;20.548;5.952;21.6;23.357;10.255;17.557;4.957;12.259;15.647;18.081;22.423;27.494;27.056;15.025;10.932;14.139;13.752;25.108;21.334;14.076;10.219;9.681;12.321;22.416;13.036;8.303;24.593;19.649;2.851;9.548;28.497;21.304;13.235;11.207;2.215;11.708;12.365;7.381;10.79;8.494;21.691;28.38;25.166;10.692;10.465;23.409;27.718;8.914;9.359;9.521;17.286;26.951;29.671;22.131;14.807;26.607;18.109;16.749;28.094;12.313;1.121;22.179;23.503;4.846;4.185;27.343;10.219;21.849;16.987;19.206;20.085;1.223;22.946;19.964;17.374;3.715;3.348;12.349;5.772;27.925;10.031;24.848;5.667;21.226;19.339;10.807;28.82;18.677;24.992;13.191;10.415;2.772;6.651;9.472;22.299;1.225;24.189
r131;4.985;20.972;25.788;23.818;1.104;21.396;29.609;21.113;12.022;20.827;26.608;29.669;29.053;19.051;17.539;23.094;1.234;13.828;24.931;18.822;29.908;13.121;18.525;21.038;26.331;19.657;27.656;7.747;14.496;26.886;9.473;26.939;24.517;6.022;1.471;5.26;7.446;11.548;9.043;3.182;14.193;19.425;28.145;15.375;23.506;22.858;15.624;11.916;5.198;9.471;21.304;5.495;11.487;4.304;3.902;27.369;6.633;12.305;2.944;21.063;26.805;17.843;4.225;19.572;7.228;27.91;3.878;20.649;3.202;14.442;10.762;21.945;5.124;5.14;8.584;26.022;27.783;13.754;4.931;23.594;6.453;21.152;10.481;6.291;2.078;26.517;5.614;9.84;29.437;1.87;24.02;23.235;29.328;28.704;24.155;18.779;9.754;15.644;1.635;20.927;4.03;18.71;22.432;23.178;23.297;11.599;12.337;8.495;5.551;24.02;6.61;23.086;11.873;23.945;14.842;2.098;16.412;2.729;17.379;20.98;7.318;23.092;23.296;15.851;3.764;20.209;17.584;25.689;2.07;4.456;25.884;21.807;25.583;8.928;6.711;23.878;2.481;1.88;25.561;9.62;20.134;17.732;29.938;15.352;25.366;15.364;4.384;27.914;8.533;13.989;28.225;14.729;12.52;22.619;18.316;11.249;28.229;19.715;28.534;25.117;19.526;7.677;25.641;27.46;25.834;3.914;25.785;15.374;22.712;19.805;22.912;10.852;11.98;22.44;17.177;15.517;12.877;6.981;24.03;29.337;15.66;22.079;28.735;7.988;25.075;5.041;21.003;10.444;14.866;1.864;13.376;4.54;28.875;17.163;28.059;6.484;16.484;15.345;29.541;13.181;26.836;5.05;11.783;11.962;10.124;11.523;22.832;2.977;26.495;27.021;21.265;21.464;14.655;8.314;13.522;10.141;16.071;29.244;14.632;12.376;1.5;23.436;29.881;3.829;16.757;25.64;21.153;21.657;18.816;28.656;15.747;1.01;3.249;29.985;7.907;18.599;23.081;2.097;24.239;26.805;15.31;7.323;16.305;12.554;17.26;12.086;15.204;27.371;8.99;25.362;24.759;1.135;6.68;14.733;16.631;3.369;19.93;4.982;7.971;26.276;28.137;7.332;26.7;7.369;14.176;18.46;27.071;17.01;23.756;12.028;20.278;6.381;25.329;9.015;8.866;23.616;2.55;3.669;11.309;3.365;29.04;17.808;2.591;7.889;6.508;17.248;18.434;14.781;15.282;16.172;24.549;28.898;8.861;2.698;27.185;14.415;18.978;11.158;26.57;17.353
r132;26.438;16.443;3.075;8.344;17.794;4.561;15.097;15.689;22.475;20.849;15.745;23.004;15.584;28.478;3.236;5.58;6.526;20.22;29.076;2.695;28.642;17.701;24.254;1.465;12.327;5.963;23.111;4.629;7.269;14.707;3.094;13.795;22.875;22.756;28.258;11.972;11.352;15.854;21.039;25.947;14.015;10.531;12.13;13.059;1.581;3.205;23.852;27.06;27.465;3.208;25.812;15.064;11.448;5.633;6.645;13.588;27.929;9.38;9.648;25.099;17.087;18.028;12.218;22.358;9.653;19.179;2.633;20.229;13.304;17.273;6.583;23.39;13.206;12.058;18.097;26.029;10.252;8.153;4.241;8.298;1.033;15.901;17.472;23.352;16.731;15.604;5.644;14.165;23.571;28.629;26.565;25.945;23.938;26.755;23.979;24.35;25.855;22.024;10.123;26.339;26.953;23.64;1.491;2.267;3.101;17.3;6.118;23.271;4.038;15.956;8.868;8.789;23.144;23.251;10.233;14.859;22.242;27.819;20.051;26.333;7.047;8.48;8.03;20.336;19.413;11.214;8.365;16.177;28.025;22.207;2.821;20.294;26.914;8.668;10.858;14.526;6.367;29.277;25.226;14.258;5.729;27.566;25.61;5.673;13.292;22.642;17.129;27.353;23.624;11.722;27.787;10.658;12.869;5.363;1.375;16.493;13.921;14.149;27.482;7.425;9.506;15.795;7.874;5.779;14.494;23.593;6.503;29.909;8.265;5.64;17.62;9.537;14.31;19.593;22.872;7.142;20.448;4.591;21.532;21.017;8.825;13.762;28.507;14.844;18.582;9.197;6.222;7.856;14.688;3.012;22.237;18.84;29.046;13.113;22.87;19.341;2.251;13.872;19.286;16.696;12.485;2.27;20.241;29.69;21.053;18.509;17.269;24.009;26.706;8.308;2.572;10.903;17.025;11.94;28.841;24.988;6.444;12.399;8.364;10.44;2.225;11.309;2.166;20.988;17.054;7.926;10.362;22.298;13.964;13.392;10.57;1.893;29.707;23.93;6.982;26.119;25.265;11.041;1.018;4.157;16.521;16.968;7.024;11.049;7.584;28.685;11.874;20.903;22.847;24.862;21.084;23.989;23.199;8.467;10.815;3.274;22.256;8.964;21.223;23.437;26.39;19.29;1.302;15.493;6.472;23.478;20.857;8.319;5.599;13.336;11.963;5.027;8.637;6.728;24.565;24.456;9.152;26.199;9.392;19.997;14.118;28.291;11.316;7.528;1.064;24.966;5.259;17.938;28.695;7.128;3.374;16.8;29.902;27.699;15.916;28.966;8.764;28.757;1.973;18.815
r133;15.566;1.811;14.472;6.706;4.184;14.694;24.851;23.56;21.247;5.086;23.29;20.874;12.255;11.122;4.795;3.822;13.935;13.943;4.547;20.625;17.056;18.568;27.113;3.379;1.423;11.689;28.454;18.946;6.008;28.783;12.164;20.988;5.839;9.087;18.469;13.829;15.944;23.541;4.059;13.939;15.079;12.148;9.72;28.245;15.666;18.075;11.544;17.181;9.346;9.224;9.114;20.303;19.582;8.02;17.88;3.936;8.08;4.949;8.344;7.845;26.805;10.658;19.469;24.676;6.975;23.995;2.968;10.346;5.247;25.315;20.862;9.592;18.632;28.277;23.644;16.007;25.543;28.673;9.014;14.945;21.617;20.942;7.222;8.38;29.975;4.373;28.228;8.74;18.826;3.599;3.651;9.583;16.124;25.869;25.996;5.388;27.807;9.37;20.817;4.497;16.093;20.579;2.493;11.868;24.882;6.407;12.79;17.339;4.163;8.592;23.435;16.562;28.559;12.391;13.433;19.134;26.361;27.93;26.432;11.722;1.702;14.845;26.254;8.443;19.598;23.527;28.976;20.1;22.235;5.16;23.258;7.829;7.658;5.887;25.13;11.11;14.203;19.551;10.069;8.188;18.691;27.458;24.912;1.225;3.983;26.65;29.947;21.343;1.696;10.041;5.688;2.257;16.978;13.759;29.742;17.546;19.52;12.063;22.467;16.834;28.398;26.608;14.341;14.062;29.237;19.942;17.505;17.219;9.587;6.61;21.631;24.64;6.873;13.479;7.773;16.884;24.843;18.991;5.045;4.072;26.78;18.828;5.619;28.63;14.053;22.518;5.913;20.312;29.637;19.092;6.889;27.837;16.691;21.22;6.042;8.099;29.795;4.241;23.679;13.122;2.333;28.571;23.375;22.018;18.059;4.859;27.928;1.742;2.351;20.713;27.083;11.548;5.525;14.218;5.741;12.817;1.418;8.179;8.715;17.763;14.106;4.763;20.054;20.913;9.16;25.949;15.102;18.332;20.955;9.494;20.012;6.845;25.707;26.966;6.184;26.217;27.105;20.274;29.014;10.341;17.934;19.625;17.94;2.239;1.397;24.305;27.087;13.385;29.925;15.935;1.491;18.074;6.633;15.033;18.291;10.815;17.203;12.536;27.152;11.646;5.642;2.916;26.815;12.624;5.63;8.497;20.852;4.865;9.399;7.505;12.396;7.213;3.264;21.505;15.479;18.965;22.821;17.476;24.51;27.698;6.55;9.544;7.773;23.051;17.356;15.727;1.654;12.869;29.361;17.662;3.765;9.922;20.853;18.471;17.888;24.267;9.948;29.896;2.526;25.435
r134;23.195;13.512;12.309;24.018;3.239;24.154;21.917;28.871;20.918;23.614;4.76;29.696;25.151;4.532;9.932;15.661;26.051;27.81;17.282;7.427;15.477;11.676;27.282;16.896;22.821;23.696;19.905;2.305;19.513;3.569;6.679;9.748;15.123;28.319;23.444;23.611;18.171;23.302;16.342;9.866;5.829;15.66;25.039;13.957;25.047;7.233;28.865;22.277;5.004;29.153;22.392;8.417;20.624;19.004;29.198;1.511;27.15;10.204;29.262;29.075;17.405;25.364;25.233;11.37;1.796;22.916;16.737;17.52;20.508;10.61;9.209;23.625;8.888;12.763;12.79;13.845;7.425;28.548;11.884;3.598;13.005;24.136;25.394;9.042;27.617;7.228;8.54;3.264;20.03;7.217;2.307;26.716;7.967;3.595;25.6;5.554;10.641;18.616;21.777;24.183;27.943;17.034;27.857;7.769;1.865;4.473;29.377;19.573;21.414;15.574;10.821;23.114;12.68;19.487;12.018;17.204;29.051;16.492;21.614;3.091;10.092;11.3;21.588;12.325;3.94;17.085;28.254;14.52;28.362;26.516;19.957;6.185;29.089;11.449;18.124;10.187;17.506;18.665;8.054;5.793;5.131;12.51;9.763;27.69;19.737;15.912;4.412;16.281;24.453;25.362;10.666;19.227;12.257;4.62;16.715;12.238;14.274;19.118;26.017;10.214;21.605;17.817;8.014;11.661;14.958;22.083;25.533;25.187;7.269;25.455;29.551;24.148;23.377;19.861;8.634;19.644;26.328;11.901;9.937;19.835;15.498;25.89;27.593;14.28;7.125;14.527;9.023;4.02;18.122;21.958;5.235;6.78;3.222;21.897;15.418;28.19;16.8;16.386;22.325;7.807;8.449;28.09;17.637;22.205;11.262;25.37;10.251;16.552;18.201;16.967;26.896;20.23;5.424;2.165;14.926;5.62;8.367;10.524;29.882;2.616;16.651;26.577;3.118;4.78;13.973;9.388;5.239;21.229;4.62;20.18;20.569;27.792;14.726;17.088;16.382;3.07;8.346;28.91;16.731;5.695;15.53;1.885;3.896;11.17;20.4;23.46;16.508;3.179;10.864;5.001;3.403;9.876;25.266;7.807;4.601;14.447;4.871;22.814;16.058;24.869;22.687;17.945;13.714;21.344;24.363;21.02;18.142;16.812;26.686;2.937;10.372;16.229;13.319;21.053;25.632;13.843;2.549;12.486;18.435;24.172;5.732;21.037;13.157;16.901;17.532;12.103;1.669;1.68;17.86;18.759;28.641;15.792;15.955;26.578;1.147;17.037;10.349;29.444;12.852;25.717
r135;28.282;6.079;28.554;18.24;10.399;2.162;24.099;11.573;19.273;3.987;19.137;14.709;29.546;17.724;12.186;28.797;18.251;25.881;9.316;17.447;16.578;25.109;7.41;2.205;13.8;19.841;17.781;18.912;27.379;15.715;11.903;8.997;25.229;20.018;10.845;5.207;7.232;14.452;29.845;9.816;13.932;11.702;17.459;21.374;18.96;13.86;20.929;22.365;5.002;8.648;8.771;10.527;5.299;3.495;17.21;29.975;28.493;4.471;16.138;28.864;17.099;27.83;8.493;25.765;25.838;8.602;11.903;25.221;18.435;13.217;6.111;15.703;28.812;29.752;24.384;15.044;28.342;5.482;4.239;29.081;8.476;8.508;7.038;27.331;1.773;9.74;16.049;20.305;2.982;2.307;7.595;20.642;17.966;26.897;18.33;9.609;9.826;9.398;22.963;26.086;3.801;1.944;23.665;28.299;25.102;20.621;3.313;19.03;28.855;17.531;18.281;21.699;17.769;18.561;27.866;13.36;18.307;24.668;19.309;2.749;7.783;9.716;23.176;15.546;1.269;21.042;15.072;9.235;25.23;26.057;26.667;11.049;18.27;27.563;19.59;15.996;1.394;10.338;24.719;23.99;15.8;26.717;13.533;17.224;6.996;23.334;10.628;1.262;6.897;29.798;1.881;29.337;28.615;29.441;2.282;6.687;25.05;22.664;29.947;13.751;11.874;4.566;9.242;28.611;11.9;7.05;6.121;4.223;1.679;28.148;9.536;1.49;9.061;7.568;16.781;6.272;18.121;4.283;14.582;29.056;18.325;16.325;26.572;10.879;21.0;23.651;5.696;8.657;15.343;27.642;6.661;14.27;2.999;7.865;4.039;3.48;6.289;18.01;25.607;17.57;29.617;4.987;28.639;8.832;25.535;16.673;4.564;4.563;24.996;8.994;24.774;27.018;25.078;2.531;26.471;27.82;10.153;18.21;23.896;20.093;25.03;4.625;12.081;22.306;11.013;26.712;2.925;6.522;17.044;22.566;10.523;21.77;9.862;16.242;10.734;21.964;14.837;24.317;1.032;25.846;26.525;29.69;14.509;21.452;14.486;11.786;16.853;12.194;13.652;27.083;4.695;22.163;23.299;25.266;21.362;16.295;8.471;23.235;4.29;9.187;21.815;25.911;11.728;17.371;23.931;1.674;28.912;13.656;3.682;24.031;5.519;18.67;13.849;26.098;26.503;12.732;10.569;18.438;27.922;19.531;1.967;11.018;13.698;15.599;15.008;14.037;11.628;28.421;5.263;8.099;7.759;27.528;28.25;26.608;22.263;5.76;7.662;26.967;4.154;23.149
r136;6.435;23.168;5.888;23.492;12.422;7.601;15.394;6.17;11.7;4.885;8.395;5.311;29.153;17.218;10.61;3.412;9.596;7.394;20.216;11.306;19.011;22.013;28.41;19.685;12.576;1.477;17.426;25.72;1.496;15.905;13.1;20.814;21.704;17.834;19.17;7.336;2.327;17.52;13.871;17.994;1.33;22.514;28.297;23.125;8.525;2.169;18.037;14.605;4.537;23.354;12.716;26.558;24.363;4.291;11.361;20.46;11.824;13.896;16.627;28.444;13.007;9.414;25.034;22.424;23.67;21.806;8.446;13.834;7.198;10.565;6.399;27.264;12.454;12.918;7.052;7.776;12.246;12.8;14.911;25.42;13.135;18.985;17.055;19.723;9.265;25.672;1.44;16.802;1.782;3.148;15.666;11.08;28.217;20.68;15.719;14.026;13.386;6.55;2.014;12.367;10.457;21.807;24.312;2.849;11.377;19.877;24.636;21.311;29.962;17.118;2.008;6.299;1.947;4.711;25.648;21.784;24.088;3.793;22.819;10.505;18.964;20.843;11.846;20.517;19.48;8.095;21.316;14.79;17.779;25.623;14.209;19.719;19.357;7.146;18.624;29.217;15.855;7.019;9.226;3.077;6.983;10.93;27.725;12.376;2.453;15.638;18.055;24.876;20.967;24.921;3.712;22.704;13.668;12.852;17.197;10.503;7.934;27.091;23.569;5.553;10.107;12.869;11.675;12.019;8.715;26.534;8.843;27.803;6.386;5.602;2.203;3.871;29.671;23.591;6.877;13.511;12.439;28.384;20.759;23.307;19.798;15.879;1.229;26.591;12.372;14.571;22.4;24.836;6.699;26.576;21.366;16.841;17.51;17.833;12.773;23.665;4.952;24.86;8.084;16.631;11.152;2.268;13.841;1.584;6.79;7.933;23.024;6.879;20.633;28.258;1.12;1.194;26.987;8.755;6.346;8.337;15.44;11.167;13.79;21.551;15.027;18.8;26.844;24.197;17.884;6.324;9.856;28.516;27.439;2.735;27.634;24.844;15.584;8.194;27.804;12.199;20.932;29.002;1.577;23.845;5.919;1.061;5.41;6.073;15.388;16.018;26.254;7.718;27.031;5.495;1.945;2.157;12.02;14.741;28.228;23.495;22.173;7.052;24.357;21.397;24.378;15.258;27.696;28.157;20.487;10.949;18.908;9.516;22.245;5.746;21.236;11.77;10.515;8.737;23.106;9.134;1.288;12.231;6.44;22.986;13.227;28.139;15.148;9.546;17.693;11.482;4.617;21.394;3.967;14.538;15.268;26.953;2.496;7.727;6.938;8.278;19.203;18.452;7.768;10.524
r137;23.514;26.816;10.245;12.352;9.746;26.577;27.401;21.338;14.734;27.59;14.662;1.785;19.817;29.718;11.238;15.244;16.515;1.591;3.57;18.653;10.551;20.065;1.637;3.559;12.602;3.641;4.574;3.234;3.112;2.934;13.7;7.505;26.376;6.099;1.803;27.504;23.898;24.734;28.574;8.96;26.507;14.989;23.352;22.459;4.516;24.822;8.463;6.104;22.38;8.765;27.034;5.617;16.762;23.105;28.183;3.627;19.209;1.719;4.422;2.646;24.497;23.029;24.651;23.916;25.549;18.708;20.725;24.812;16.449;1.796;19.308;28.962;6.013;10.94;26.517;2.451;9.223;5.73;14.11;13.349;5.843;21.325;8.053;22.409;7.509;9.638;19.121;28.387;7.561;13.48;26.118;6.34;13.095;9.104;7.29;19.354;16.477;26.341;21.598;1.349;18.276;21.083;12.439;15.091;22.387;18.124;17.973;10.724;21.572;29.671;16.478;22.969;16.702;3.026;11.694;17.359;29.127;16.76;13.388;1.078;7.76;1.893;9.986;15.563;12.558;2.36;8.926;10.047;17.595;3.713;8.605;24.515;18.864;1.851;25.155;17.852;13.715;26.353;12.56;26.329;8.526;16.189;25.259;12.001;8.973;23.709;15.383;28.04;4.422;6.23;15.57;18.51;12.476;26.452;17.952;16.622;1.402;21.017;3.39;20.83;28.652;5.755;23.14;12.233;8.135;23.475;16.933;27.842;24.708;10.517;21.698;13.539;1.587;3.703;29.627;1.888;8.966;7.764;21.539;9.481;5.108;26.688;28.84;6.018;6.683;1.194;17.645;19.874;11.55;7.008;1.161;9.956;26.762;8.836;4.851;18.705;25.285;18.568;22.129;28.238;13.455;13.535;1.716;23.633;22.168;5.665;18.692;19.794;18.246;17.051;18.822;27.361;26.848;1.711;29.879;5.321;8.985;7.64;18.003;13.698;9.795;1.545;19.667;24.683;21.015;1.911;13.362;27.766;25.342;8.587;6.415;14.143;6.583;9.186;14.375;12.989;23.563;4.401;17.435;28.691;29.695;28.63;7.605;23.781;11.126;27.026;4.691;2.949;10.182;3.358;18.754;2.454;16.955;8.56;29.656;18.68;3.765;16.145;11.152;13.451;17.464;14.15;27.918;12.15;8.405;10.94;8.362;7.17;5.067;6.971;24.118;18.36;13.263;10.51;25.075;14.553;20.972;15.382;29.309;5.057;4.411;9.618;12.083;24.092;14.637;29.616;4.86;26.853;21.163;6.464;4.844;10.308;7.938;28.861;22.1;25.478;7.38;3.188;1.755;24.828
